brand,type,transmission,drivetype,fueltype,year,fueleconomy,kilometers,price,bodytype,doors,seats
Mitsubishi,USED,Automatic,Front,Unleaded,2019,7.2,51446,31990,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,Front,Unleaded,2019,6.5,45718,40888,SUV, 5 Doors, 5 Seats
Toyota,USED,Automatic,AWD,Hybrid,2021,4.8,26922,64990,SUV, 5 Doors, 5 Seats
Mitsubishi,USED,Automatic,Front,Unleaded,2018,7.6,78472,23590,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,AWD,Hybrid,2022,4.8,16180,64490,SUV, 5 Doors, 5 Seats
Toyota,USED,Automatic,AWD,Diesel,2018,6.5,93914,30990,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,Front,Unleaded,2018,9.1,79734,42990,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,AWD,Hybrid,2021,5.6,62178,64490,SUV, 5 Doors, 7 Seats
Toyota,USED,Automatic,Front,Unleaded,2019,6.5,57902,39999,SUV, 5 Doors, 5 Seats
Toyota,USED,Automatic,AWD,Unleaded,2018,8.5,125307,29800,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,4WD,Diesel,2019,9.5,104589,103990,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,4WD,Diesel,2013,10.3,184560,64850,SUV, 4 Doors, 8 Seats
Toyota,USED,Automatic,4WD,Diesel,2019,8,75001,72990,SUV, 4 Doors, 7 Seats
Toyota,USED,Automatic,4WD,Diesel,2013,8.5,251094,41990,SUV, 4 Doors, 7 Seats
Mitsubishi,USED,Automatic,4WD,Diesel,2016,8,164351,31800,SUV, 4 Doors, 5 Seats
Toyota,USED,Automatic,Front,Unleaded,2013,11,273860,16990,SUV, 4 Doors, 7 Seats
